time,tweet
4/1/2019 3:55,"RT @Complex: ""Material things ain't nothing, you feel me? At the end of the day it's who you is.""

Nipsey will be missed.

https://t.co/mH6…"
3/31/2019 17:19,When you know she lying .... But she fine 😏 https://t.co/S799o5ie1L
3/30/2019 17:53,Thank you @naacpimageaward. What an amazing way to wake up. Beyond Grateful for this award! ❤️🥂
3/27/2019 21:50,Mood https://t.co/4Nnpe0kCCV
3/25/2019 2:18,Everybody has obstacles in life they must conquer. My journey begins now. Farewell twitter. For I must do this on m… https://t.co/dW5zJ39Hdg
3/25/2019 2:05,"I’ve learned 3 things in life. I’ll never win a Kids Choice Award, and that Finkle is Einhorn and Einhorn is Finkle."
3/23/2019 16:45,Pleeth!! P L E E E T T H!!! 😂 🙌 https://t.co/iLlvqqM3CF
3/20/2019 11:34,"Looky here sweetheart...The only thing in this world that gets old is clothes, and even they come back in style. 😘 🥂 https://t.co/UJS0GYkulN"
3/20/2019 11:22,😂 Nah! Ya said what ya said! https://t.co/E81SQkxTkN
3/20/2019 11:21,😉 https://t.co/DkF25q3Vcw
3/20/2019 11:11,Fair enough https://t.co/LOglMpIGnT
3/20/2019 10:47,Yo! Hook me up! 🙌 https://t.co/Eh3EwqgmFA
3/15/2019 19:34,https://t.co/GE3m0XQhkf 😂
3/11/2019 2:07,🥂 #PleaseMe https://t.co/mayRBHrvVQ
3/9/2019 23:47,Art by Jesus #GodsPlan https://t.co/8kW0tOVTzx
3/9/2019 23:19,Art by @lordmesa #PleaseMe https://t.co/fg0yWvBgFL
3/8/2019 18:44,"It's the WORST when people post photos of themselves that they like, and then try to play it cool by writing a capt… https://t.co/x9lRN0Lq4W"
3/6/2019 22:38,I love this record! 👆 Thank you all for making “Wake Up In The Sky” Double Platinum! ❤️🥂 https://t.co/l3DDaLiN63
3/5/2019 3:46,One day I’ll try it. #StreamPleaseMe 😂 https://t.co/zMWSve91lu
3/5/2019 3:27,😭😭😭😭 https://t.co/znp86yMFS8
3/5/2019 3:26,Nah! https://t.co/ToKdOqAiqn
3/5/2019 3:26,#ThatsHard ❤️ https://t.co/FWLKFs6hmu
3/5/2019 3:25,#ThatsHard ❤️ https://t.co/a26kaKkGyq
